geneSymbol	geneid
ADAMDEC1	ENSG00000134028
ADAMTS1	ENSG00000154734
ADAMTS12	ENSG00000151388
ADAMTS13	ENSG00000160323
ADAMTS2	ENSG00000087116
ADAMTS3	ENSG00000156140
ADAMTS5	ENSG00000154736
ADAMTS6	ENSG00000049192
ADAMTS8	ENSG00000134917
ADAMTSL2	ENSG00000197859
ADAMTSL3	ENSG00000156218
ADAMTSL4	ENSG00000143382
ADAP1	ENSG00000105963
ADAP2	ENSG00000184060
ADAR	ENSG00000160710
ADARB1	ENSG00000197381
ADARB2	ENSG00000185736
ADAT1	ENSG00000065457
ADCK2	ENSG00000133597
ADCY1	ENSG00000164742
ADCY10	ENSG00000143199
ADCY2	ENSG00000078295
ADCY3	ENSG00000138031
ADCY6	ENSG00000174233
ADCY7	ENSG00000121281
ADCY8	ENSG00000155897
ADCY9	ENSG00000162104
ADCYAP1	ENSG00000141433
ADCYAP1R1	ENSG00000078549
ADD1	ENSG00000087274
ADD2	ENSG00000075340
ADD3	ENSG00000148700
ADH1A	ENSG00000187758
ADH1B	ENSG00000196616
ADH1C	ENSG00000248144
ADH5	ENSG00000197894
ADH6	ENSG00000172955
ADH7	ENSG00000196344
ADI1	ENSG00000182551
ADIPOQ	ENSG00000181092
ADIPOR1	ENSG00000159346
ADIPOR2	ENSG00000006831
ADK	ENSG00000156110
ADM	ENSG00000148926
ADM2	ENSG00000128165
ADNP	ENSG00000101126
ADNP2	ENSG00000101544
ADO	ENSG00000181915
ADORA1	ENSG00000163485
ADORA2B	ENSG00000170425
ADORA3	ENSG00000282608
ADPGK	ENSG00000159322
ADPRH	ENSG00000144843
ADRA1A	ENSG00000120907
ADRA1B	ENSG00000170214
ADRA1D	ENSG00000171873
ADRA2A	ENSG00000150594
ADRA2B	ENSG00000274286
ADRA2C	ENSG00000184160
ADRB1	ENSG00000043591
ADRB2	ENSG00000169252
ADRB3	ENSG00000188778
ADRM1	ENSG00000130706
ADSL	ENSG00000239900
ADSS	ENSG00000035687
AEBP1	ENSG00000106624
AEN	ENSG00000181026
AFAP1	ENSG00000196526
AFF1	ENSG00000172493
AFF2	ENSG00000155966
AFF3	ENSG00000144218
AFF4	ENSG00000072364
AFG3L2	ENSG00000141385
AFM	ENSG00000079557
AFP	ENSG00000081051
AFTPH	ENSG00000119844
AGA	ENSG00000038002
AGAP1	ENSG00000157985
AGAP2	ENSG00000135439
AGBL2	ENSG00000165923
AGBL5	ENSG00000084693
AGER	ENSG00000204305
AGFG1	ENSG00000173744
AGFG2	ENSG00000106351
AGGF1	ENSG00000164252
AGK	ENSG00000006530
AGL	ENSG00000162688
AGMAT	ENSG00000116771
AGPAT1	ENSG00000204310
AGPAT2	ENSG00000169692
AGPAT3	ENSG00000160216
AGPAT4	ENSG00000026652
AGPAT5	ENSG00000155189
AGPS	ENSG00000018510
AGR2	ENSG00000106541
AGRN	ENSG00000188157
AGRP	ENSG00000159723
AGT	ENSG00000135744
AGTPBP1	ENSG00000135049
AGTR2	ENSG00000180772
AGXT	ENSG00000172482
AHCTF1	ENSG00000153207
AHCY	ENSG00000101444
AHCYL1	ENSG00000168710
AHCYL2	ENSG00000158467
AHDC1	ENSG00000126705
AHI1	ENSG00000135541
AHNAK	ENSG00000124942
AHNAK2	ENSG00000185567
AHR	ENSG00000106546
AHSA1	ENSG00000100591
AHSG	ENSG00000145192
AHSP	ENSG00000169877
AICDA	ENSG00000111732
AIF1	ENSG00000204472
AIFM1	ENSG00000156709
AIM2	ENSG00000163568
AIMP1	ENSG00000164022
AIMP2	ENSG00000106305
AIP	ENSG00000110711
AIPL1	ENSG00000129221
AIRE	ENSG00000160224
AJAP1	ENSG00000196581
AK1	ENSG00000106992
AK2	ENSG00000004455
AK5	ENSG00000154027
AKAP1	ENSG00000121057
AKAP10	ENSG00000108599
AKAP11	ENSG00000023516
AKAP12	ENSG00000131016
AKAP13	ENSG00000170776
AKAP3	ENSG00000111254
AKAP4	ENSG00000147081
AKAP5	ENSG00000179841
AKAP6	ENSG00000151320
AKAP7	ENSG00000118507
AKAP8	ENSG00000105127
AKAP8L	ENSG00000011243
AKAP9	ENSG00000127914
AKIRIN1	ENSG00000174574
AKR1A1	ENSG00000117448
AKR1B1	ENSG00000085662
AKR1B10	ENSG00000198074
AKR1C1	ENSG00000187134
AKR1C3	ENSG00000196139
AKR1C4	ENSG00000198610
AKR1D1	ENSG00000122787
AKR7A2	ENSG00000053371
AKT1	ENSG00000142208
AKT2	ENSG00000105221
AKT3	ENSG00000117020
AKTIP	ENSG00000166971
ALAD	ENSG00000148218
ALAS1	ENSG00000023330
ALAS2	ENSG00000158578
ALB	ENSG00000163631
ALCAM	ENSG00000170017
ALDH18A1	ENSG00000059573
ALDH1A1	ENSG00000165092
ALDH1A2	ENSG00000128918
ALDH1A3	ENSG00000184254
ALDH1B1	ENSG00000137124
ALDH1L1	ENSG00000144908
ALDH2	ENSG00000111275
ALDH3A1	ENSG00000108602
ALDH3A2	ENSG00000072210
ALDH3B1	ENSG00000006534
ALDH3B2	ENSG00000132746
ALDH4A1	ENSG00000159423
ALDH5A1	ENSG00000112294
ALDH6A1	ENSG00000119711
ALDH7A1	ENSG00000164904
ALDH8A1	ENSG00000118514
ALDH9A1	ENSG00000143149
ALDOA	ENSG00000149925
ALDOB	ENSG00000136872
ALDOC	ENSG00000109107
ALG12	ENSG00000182858
ALG13	ENSG00000101901
ALG3	ENSG00000214160
ALG5	ENSG00000120697
ALG6	ENSG00000088035
ALG8	ENSG00000159063
ALG9	ENSG00000086848
ALK	ENSG00000171094
ALKBH1	ENSG00000100601
ALKBH4	ENSG00000160993
ALLC	ENSG00000151360
ALMS1	ENSG00000116127
ALOX12	ENSG00000108839
ALOX12B	ENSG00000179477
ALOX15	ENSG00000161905
ALOX15B	ENSG00000179593
ALOX5	ENSG00000012779
ALOX5AP	ENSG00000132965
ALOXE3	ENSG00000179148
ALPI	ENSG00000163295
ALPK3	ENSG00000136383
ALPL	ENSG00000162551
ALPP	ENSG00000163283
ALS2CL	ENSG00000178038
ALX1	ENSG00000180318
ALX3	ENSG00000156150
ALX4	ENSG00000052850
AMBN	ENSG00000178522
AMBP	ENSG00000106927
AMBRA1	ENSG00000110497
AMD1	ENSG00000123505
AMDHD2	ENSG00000162066
AMELX	ENSG00000125363
AMFR	ENSG00000159461
AMH	ENSG00000104899
AMHR2	ENSG00000135409
AMIGO2	ENSG00000139211
AMMECR1	ENSG00000101935
AMOT	ENSG00000126016
AMOTL2	ENSG00000114019
AMPD1	ENSG00000116748
AMPD2	ENSG00000116337
AMPD3	ENSG00000133805
AMPH	ENSG00000078053
AMT	ENSG00000145020
AMZ2	ENSG00000196704
ANAPC10	ENSG00000164162
ANAPC13	ENSG00000129055
ANAPC2	ENSG00000176248
ANAPC5	ENSG00000089053
ANGEL1	ENSG00000013523
ANGEL2	ENSG00000174606
ANGPT1	ENSG00000154188
ANGPT2	ENSG00000091879
ANGPT4	ENSG00000101280
ANGPTL2	ENSG00000136859
ANGPTL3	ENSG00000132855
ANGPTL4	ENSG00000167772
ANGPTL7	ENSG00000171819
ANK1	ENSG00000029534
ANK2	ENSG00000145362
ANK3	ENSG00000151150
ANKFY1	ENSG00000185722
ANKH	ENSG00000154122
ANKLE2	ENSG00000176915
ANKMY1	ENSG00000144504
ANKMY2	ENSG00000106524
ANKRA2	ENSG00000164331
ANKRD1	ENSG00000148677
ANKRD10	ENSG00000088448
ANKRD11	ENSG00000167522
ANKRD12	ENSG00000101745
ANKRD17	ENSG00000132466
ANKRD2	ENSG00000165887
ANKRD26	ENSG00000107890
ANKRD27	ENSG00000105186
ANKRD28	ENSG00000206560
ANKRD34C	ENSG00000235711
ANKRD40	ENSG00000154945
ANKRD46	ENSG00000186106
ANKRD49	ENSG00000168876
ANKRD55	ENSG00000164512
ANKRD6	ENSG00000135299
ANKRD7	ENSG00000106013
ANKS1A	ENSG00000064999
ANKS1B	ENSG00000185046
ANKZF1	ENSG00000163516
ANO1	ENSG00000131620
ANO10	ENSG00000160746
ANO2	ENSG00000047617
ANO3	ENSG00000134343
ANP32A	ENSG00000140350
ANP32B	ENSG00000136938
ANP32E	ENSG00000143401
ANPEP	ENSG00000166825
ANTXR1	ENSG00000169604
ANXA1	ENSG00000135046
ANXA10	ENSG00000109511
ANXA11	ENSG00000122359
ANXA13	ENSG00000104537
ANXA2	ENSG00000182718
ANXA3	ENSG00000138772
ANXA4	ENSG00000196975
ANXA5	ENSG00000164111
ANXA6	ENSG00000197043
ANXA7	ENSG00000138279
ANXA9	ENSG00000143412
AOAH	ENSG00000136250
AOC2	ENSG00000131480
AOC3	ENSG00000131471
AOX1	ENSG00000138356
AP1AR	ENSG00000138660
AP1B1	ENSG00000100280
AP1G1	ENSG00000166747
AP1G2	ENSG00000213983
AP1M2	ENSG00000129354
AP1S1	ENSG00000106367
AP1S2	ENSG00000182287
AP2A2	ENSG00000183020
AP2B1	ENSG00000006125
AP2M1	ENSG00000161203
AP2S1	ENSG00000042753
AP3B1	ENSG00000132842
AP3B2	ENSG00000103723
AP3D1	ENSG00000065000
AP3M2	ENSG00000070718
AP4E1	ENSG00000081014
AP4M1	ENSG00000221838
AP4S1	ENSG00000100478
APAF1	ENSG00000120868
APBA1	ENSG00000107282
APBA2	ENSG00000034053
APBA3	ENSG00000011132
APBB1	ENSG00000166313
APBB1IP	ENSG00000077420
APBB2	ENSG00000163697
APBB3	ENSG00000113108
APC	ENSG00000134982
APC2	ENSG00000115266
APCS	ENSG00000132703
APEH	ENSG00000164062
APEX1	ENSG00000100823
APEX2	ENSG00000169188
APH1A	ENSG00000117362
APH1B	ENSG00000138613
API5	ENSG00000166181
APLNR	ENSG00000134817
APLP1	ENSG00000105290
APLP2	ENSG00000084234
APOA1	ENSG00000118137
APOA2	ENSG00000158874
APOA4	ENSG00000110244
APOB	ENSG00000084674
APOBEC1	ENSG00000111701
APOBEC2	ENSG00000124701
APOBEC3A	ENSG00000128383
APOBEC3B	ENSG00000179750
APOBEC3C	ENSG00000244509
APOBEC3F	ENSG00000128394
APOBEC3G	ENSG00000239713
APOC1	ENSG00000130208
APOC3	ENSG00000110245
APOD	ENSG00000189058
APOE	ENSG00000130203
APOF	ENSG00000175336
APOH	ENSG00000091583
APOL1	ENSG00000100342
APOL2	ENSG00000128335
APOL3	ENSG00000128284
APOL6	ENSG00000221963
APOLD1	ENSG00000178878
APOM	ENSG00000204444
APOO	ENSG00000184831
APOOL	ENSG00000155008
APP	ENSG00000142192
APPBP2	ENSG00000062725
APPL1	ENSG00000157500
APPL2	ENSG00000136044
APRT	ENSG00000198931
APTX	ENSG00000137074
AQP1	ENSG00000240583
AQP2	ENSG00000167580
AQP3	ENSG00000165272
AQP4	ENSG00000171885
AQP5	ENSG00000161798
AQP6	ENSG00000086159
AQP8	ENSG00000103375
AQP9	ENSG00000103569
AQR	ENSG00000021776
AR	ENSG00000169083
ARAF	ENSG00000078061
ARAP1	ENSG00000186635
ARAP2	ENSG00000047365
ARAP3	ENSG00000120318
ARC	ENSG00000198576
ARCN1	ENSG00000095139
ARF1	ENSG00000143761
ARF3	ENSG00000134287
ARF4	ENSG00000168374
ARF5	ENSG00000004059
ARF6	ENSG00000165527
ARFGAP1	ENSG00000101199
ARFGAP2	ENSG00000149182
ARFGAP3	ENSG00000242247
ARFGEF1	ENSG00000066777
ARFGEF2	ENSG00000124198
ARFIP1	ENSG00000164144
ARFIP2	ENSG00000132254
ARFRP1	ENSG00000101246
ARG1	ENSG00000118520
ARG2	ENSG00000081181
ARGLU1	ENSG00000134884
ARHGAP1	ENSG00000175220
ARHGAP10	ENSG00000071205
ARHGAP11A	ENSG00000198826
ARHGAP12	ENSG00000165322
ARHGAP15	ENSG00000075884
ARHGAP17	ENSG00000140750
ARHGAP19	ENSG00000213390
ARHGAP22	ENSG00000128805
ARHGAP24	ENSG00000138639
ARHGAP25	ENSG00000163219
ARHGAP26	ENSG00000145819
ARHGAP28	ENSG00000088756
ARHGAP29	ENSG00000137962
ARHGAP32	ENSG00000134909
ARHGAP33	ENSG00000004777
ARHGAP4	ENSG00000089820
ARHGAP5	ENSG00000100852
ARHGAP6	ENSG00000047648
ARHGDIA	ENSG00000141522
ARHGDIB	ENSG00000111348
ARHGDIG	ENSG00000242173
ARHGEF1	ENSG00000076928
ARHGEF10	ENSG00000104728
ARHGEF10L	ENSG00000074964
ARHGEF11	ENSG00000132694
ARHGEF12	ENSG00000196914
ARHGEF15	ENSG00000198844
ARHGEF16	ENSG00000130762
ARHGEF17	ENSG00000110237
ARHGEF18	ENSG00000104880
ARHGEF2	ENSG00000116584
ARHGEF3	ENSG00000163947
ARHGEF38	ENSG00000236699
ARHGEF4	ENSG00000136002
ARHGEF5	ENSG00000050327
ARHGEF6	ENSG00000129675
ARHGEF7	ENSG00000102606
ARHGEF9	ENSG00000131089
ARID1A	ENSG00000117713
ARID3A	ENSG00000116017
ARID4A	ENSG00000032219
ARID4B	ENSG00000054267
ARID5A	ENSG00000196843
ARID5B	ENSG00000150347
ARIH1	ENSG00000166233
ARIH2	ENSG00000177479
ARL1	ENSG00000120805
ARL14	ENSG00000179674
ARL15	ENSG00000185305
ARL2	ENSG00000213465
ARL2BP	ENSG00000102931
ARL3	ENSG00000138175
ARL4C	ENSG00000188042
ARL4D	ENSG00000175906
ARL5A	ENSG00000162980
ARL6IP1	ENSG00000170540
ARL6IP4	ENSG00000182196
ARL6IP5	ENSG00000144746
ARL8B	ENSG00000134108
ARMC1	ENSG00000104442
ARMC6	ENSG00000105676
ARMC7	ENSG00000125449
ARMC8	ENSG00000114098
ARMC9	ENSG00000135931
ARMCX1	ENSG00000126947
ARMCX2	ENSG00000184867
ARMCX3	ENSG00000102401
ARMCX5	ENSG00000125962
ARNT	ENSG00000143437
ARNT2	ENSG00000172379
ARNTL	ENSG00000133794
ARNTL2	ENSG00000029153
ARPC1A	ENSG00000241685
ARPC1B	ENSG00000130429
ARPC2	ENSG00000163466
ARPC4	ENSG00000241553
ARPC5	ENSG00000162704
ARPC5L	ENSG00000136950
ARPP19	ENSG00000128989
ARPP21	ENSG00000172995
ARR3	ENSG00000120500
ARRB1	ENSG00000137486
ARRB2	ENSG00000141480
ARSA	ENSG00000100299
ARSB	ENSG00000113273
ARSD	ENSG00000006756
ARSE	ENSG00000157399
ARSJ	ENSG00000180801
ART1	ENSG00000129744
ART3	ENSG00000156219
ART4	ENSG00000111339
ARTN	ENSG00000117407
ARVCF	ENSG00000099889
ASAH1	ENSG00000104763
ASAP1	ENSG00000153317
ASAP2	ENSG00000151693
ASAP3	ENSG00000088280
ASB1	ENSG00000065802
ASB13	ENSG00000196372
ASB4	ENSG00000005981
ASB6	ENSG00000148331
ASB7	ENSG00000183475
ASB8	ENSG00000177981
ASB9	ENSG00000102048
ASCC1	ENSG00000138303
ASCC2	ENSG00000100325
ASCC3	ENSG00000112249
ASCL1	ENSG00000139352
ASCL2	ENSG00000183734
ASF1A	ENSG00000111875
ASF1B	ENSG00000105011
ASGR1	ENSG00000141505
ASGR2	ENSG00000161944
ASH1L	ENSG00000116539
ASH2L	ENSG00000129691
ASL	ENSG00000126522
ASNS	ENSG00000070669
ASNSD1	ENSG00000138381
ASPA	ENSG00000108381
ASPH	ENSG00000198363
ASPHD1	ENSG00000174939
ASPM	ENSG00000066279
ASPN	ENSG00000106819
ASPSCR1	ENSG00000169696
ASRGL1	ENSG00000162174
ASS1	ENSG00000130707
ASTE1	ENSG00000034533
ASTN1	ENSG00000152092
ASTN2	ENSG00000148219
ASXL1	ENSG00000171456
ASXL2	ENSG00000143970
ASXL3	ENSG00000141431
ATAD2	ENSG00000156802
ATAD2B	ENSG00000119778
ATAD3A	ENSG00000197785
ATAD5	ENSG00000176208
ATF1	ENSG00000123268
ATF2	ENSG00000115966
ATF3	ENSG00000162772
ATF5	ENSG00000169136
ATF6	ENSG00000118217
ATF6B	ENSG00000213676
ATF7	ENSG00000170653
ATF7IP	ENSG00000171681
ATF7IP2	ENSG00000166669
ATG12	ENSG00000145782
ATG2A	ENSG00000110046
ATG2B	ENSG00000066739
ATG3	ENSG00000144848
ATG4A	ENSG00000101844
ATG4B	ENSG00000168397
ATG5	ENSG00000057663
ATG7	ENSG00000197548
ATG9A	ENSG00000198925
ATIC	ENSG00000138363
ATM	ENSG00000149311
ATMIN	ENSG00000166454
ATN1	ENSG00000111676
ATOH1	ENSG00000172238
ATOX1	ENSG00000177556
ATP10A	ENSG00000206190
ATP10B	ENSG00000118322
ATP10D	ENSG00000145246
ATP11A	ENSG00000068650
ATP11B	ENSG00000058063
ATP12A	ENSG00000075673
ATP13A1	ENSG00000105726
ATP13A2	ENSG00000159363
ATP13A3	ENSG00000133657
ATP1A1	ENSG00000163399
ATP1A2	ENSG00000018625
ATP1A3	ENSG00000105409
ATP1B1	ENSG00000143153
ATP1B2	ENSG00000129244
ATP1B3	ENSG00000069849
ATP1B4	ENSG00000101892
ATP2A1	ENSG00000196296
ATP2A2	ENSG00000174437
ATP2A3	ENSG00000074370
ATP2B1	ENSG00000070961
ATP2B2	ENSG00000157087
ATP2B3	ENSG00000067842
ATP2B4	ENSG00000058668
ATP2C1	ENSG00000017260
ATP2C2	ENSG00000064270
ATP4A	ENSG00000105675
ATP4B	ENSG00000186009
ATP6AP1	ENSG00000071553
ATP6AP2	ENSG00000182220
ATP6V0A1	ENSG00000033627
ATP6V0A2	ENSG00000185344
ATP6V0A4	ENSG00000105929
ATP6V0B	ENSG00000117410
ATP6V0C	ENSG00000185883
ATP6V0D1	ENSG00000159720
ATP6V0E1	ENSG00000113732
ATP6V0E2	ENSG00000171130
ATP6V1A	ENSG00000114573
ATP6V1B1	ENSG00000116039
ATP6V1B2	ENSG00000147416
ATP6V1C1	ENSG00000155097
ATP6V1D	ENSG00000100554
ATP6V1E1	ENSG00000131100
ATP6V1F	ENSG00000128524
ATP6V1G1	ENSG00000136888
ATP6V1G2	ENSG00000213760
ATP6V1H	ENSG00000047249
ATP7A	ENSG00000165240
ATP7B	ENSG00000123191
ATP8A1	ENSG00000124406
ATP8A2	ENSG00000132932
ATP8B2	ENSG00000143515
ATP8B3	ENSG00000130270
ATP8B4	ENSG00000104043
ATP9A	ENSG00000054793
ATP9B	ENSG00000166377
ATPAF2	ENSG00000171953
ATR	ENSG00000175054
ATRN	ENSG00000088812
ATRNL1	ENSG00000107518
ATRX	ENSG00000085224
ATXN1	ENSG00000124788
ATXN10	ENSG00000130638
ATXN2	ENSG00000204842
ATXN2L	ENSG00000168488
ATXN3	ENSG00000066427
ATXN3L	ENSG00000123594
ATXN7L1	ENSG00000146776
ATXN7L3B	ENSG00000253719
AUH	ENSG00000148090
AUP1	ENSG00000115307
AURKA	ENSG00000087586
AURKAIP1	ENSG00000175756
AURKB	ENSG00000178999
AURKC	ENSG00000105146
AUTS2	ENSG00000158321
AVEN	ENSG00000169857
AVIL	ENSG00000135407
AVL9	ENSG00000105778
AVP	ENSG00000101200
AVPI1	ENSG00000119986
AVPR1A	ENSG00000166148
AVPR1B	ENSG00000198049
AXIN1	ENSG00000103126
AXL	ENSG00000167601
AZGP1	ENSG00000160862
AZI2	ENSG00000163512
AZIN1	ENSG00000155096
AZU1	ENSG00000172232
B2M	ENSG00000166710
B3GALNT1	ENSG00000169255
B3GALT2	ENSG00000162630
B3GALT4	ENSG00000235863
B3GALT5	ENSG00000183778
B3GAT1	ENSG00000109956
B3GAT3	ENSG00000149541
B3GNT2	ENSG00000170340
B3GNT3	ENSG00000179913
B3GNT4	ENSG00000176383
B3GNTL1	ENSG00000175711
B4GALNT1	ENSG00000135454
B4GALT1	ENSG00000086062
B4GALT2	ENSG00000117411
B4GALT3	ENSG00000158850
B4GALT4	ENSG00000121578
B4GALT5	ENSG00000158470
B4GALT6	ENSG00000118276
B4GALT7	ENSG00000027847
B9D1	ENSG00000108641
B9D2	ENSG00000123810
BAALC	ENSG00000164929
BAAT	ENSG00000136881
BACE1	ENSG00000186318
BACE2	ENSG00000182240
BACH1	ENSG00000156273
BACH2	ENSG00000112182
BAD	ENSG00000002330
BAG1	ENSG00000107262
BAG2	ENSG00000112208
BAG3	ENSG00000151929
BAG4	ENSG00000156735
BAG5	ENSG00000166170
BAHD1	ENSG00000140320
BAIAP2	ENSG00000175866
BAIAP3	ENSG00000007516
BAMBI	ENSG00000095739
BANF1	ENSG00000175334
BANK1	ENSG00000153064
BANP	ENSG00000172530
BAP1	ENSG00000163930
BARD1	ENSG00000138376
BARX1	ENSG00000131668
BARX2	ENSG00000043039
BASP1	ENSG00000176788
BATF	ENSG00000156127
BATF3	ENSG00000123685
BAX	ENSG00000087088
BAZ1A	ENSG00000198604
BAZ1B	ENSG00000009954
BAZ2A	ENSG00000076108
BAZ2B	ENSG00000123636
BBC3	ENSG00000105327
BBOX1	ENSG00000129151
BBS1	ENSG00000174483
BBS10	ENSG00000179941
BBS4	ENSG00000140463
BBS7	ENSG00000138686
BBS9	ENSG00000122507
BBX	ENSG00000114439
BCAM	ENSG00000187244
BCAN	ENSG00000132692
BCAP29	ENSG00000075790
BCAP31	ENSG00000185825
BCAR3	ENSG00000137936
BCAS1	ENSG00000064787
BCAS2	ENSG00000116752
BCAS3	ENSG00000141376
BCAS4	ENSG00000124243
BCAT1	ENSG00000060982
BCAT2	ENSG00000105552
BCCIP	ENSG00000107949
BCHE	ENSG00000114200
BCKDHA	ENSG00000248098
BCKDHB	ENSG00000083123
BCKDK	ENSG00000103507
BCL10	ENSG00000142867
BCL11A	ENSG00000119866
BCL11B	ENSG00000127152
BCL2	ENSG00000171791
BCL2A1	ENSG00000140379
BCL2L1	ENSG00000171552
BCL2L10	ENSG00000137875
BCL2L11	ENSG00000153094
BCL2L13	ENSG00000099968
BCL2L14	ENSG00000121380
BCL3	ENSG00000069399
BCL6	ENSG00000113916
BCL7A	ENSG00000110987
BCL7B	ENSG00000106635
BCL7C	ENSG00000099385
BCL9	ENSG00000116128
BCLAF1	ENSG00000029363
BCOR	ENSG00000183337
BCORL1	ENSG00000085185
BCR	ENSG00000186716
BCS1L	ENSG00000074582
BDH1	ENSG00000161267
BDH2	ENSG00000164039
BDKRB1	ENSG00000100739
BDKRB2	ENSG00000168398
BDNF	ENSG00000176697
BECN1	ENSG00000126581
BEGAIN	ENSG00000183092
BEND5	ENSG00000162373
BEST1	ENSG00000167995
BEST2	ENSG00000039987
BET1	ENSG00000105829
BET1L	ENSG00000177951
BEX1	ENSG00000133169
BEX4	ENSG00000102409
BFAR	ENSG00000103429
BFSP1	ENSG00000125864
BFSP2	ENSG00000170819
BGN	ENSG00000182492
BHLHB9	ENSG00000198908
BHLHE40	ENSG00000134107
BHLHE41	ENSG00000123095
BHMT	ENSG00000145692
